Iteration,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
0,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38
1,28329.6,28793.4,28454,28579.5,27884.6,27715.2,27650,27843.9,27314.4,28266.2
2,28329.6,28545.2,28454,28039.9,27873.3,27670.6,27560.5,27843.9,27314.4,28175.6
3,28329.6,28545.2,28454,28039.9,27873.3,27670.6,27252.4,27843.9,27091.8,28175.6
4,28329.6,28545.2,28454,28039.9,27873.3,27615,27225.3,27772.4,27091.8,28091.8
5,28329.6,28545.2,28454,28039.9,27873.3,27615,27225.3,27741.9,27091.8,28091.8
6,28291.1,28545.2,28419.2,28039.9,27801.7,27615,27225.3,27694.7,27091.8,28091.8
7,28291.1,28545.2,28419.2,28039.9,27479.1,27447.3,27107.2,27694.7,27091.8,28091.8
8,28291.1,28545.2,28419.2,28039.9,27479.1,27447.3,27107.2,27694.7,27091.8,28091.8
9,28291.1,28545.2,28329.2,28039.9,27479.1,27447.3,27107.2,27667.8,27091.8,28047.8
10,28291.1,28545.2,28329.2,28039.9,27479.1,27447.3,27107.2,27667.8,27091.8,28047.8
