Iteration,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
0,27042.1,26937.1,28054.9,27250.3,26631.8,27326.9,27236.2,26954.5,27049.9,28046.1
1,26949.5,26937.1,28054.9,27250.3,26631.8,27326.9,27085.7,26954.5,26962.5,28046.1
2,26949.5,26937.1,27999.8,27147.9,26631.8,27326.9,27085.7,26954.5,26962.5,28046.1
3,26949.5,26937.1,27999.8,27147.9,26631.8,27326.9,27085.7,26821.1,26839.5,28046.1
4,26927.6,26937.1,27999.8,27147.9,26631.8,27326.9,27085.7,26821.1,26839.5,28046.1
5,26927.6,26937.1,27999.8,27147.9,26631.8,27326.9,27085.7,26775.6,26839.5,28046.1
6,26927.6,26937.1,27711.1,27147.9,26631.8,27326.9,27085.7,26670.6,26839.5,28046.1
7,26927.6,26937.1,27711.1,27147.9,26631.8,27326.9,27085.7,26670.6,26679,28046.1
8,26749.7,26937.1,27711.1,27147.9,26631.8,27326.9,26997.7,26670.6,26679,27995.4
9,26749.7,26905.2,27711.1,27147.9,26583.4,27326.9,26997.7,26670.6,26679,27769.3
10,26749.7,26905.2,27711.1,27118.1,26583.4,27326.9,26997.7,26670.6,26519.2,27769.3
